ID;Age;Sex;Height;Weight;BMI;BMIGroup;CMJ;SJ;Pow_Duncan;PE_CMJ;Pow_Gomez;CMJcm
1;6;1;1,2;17;11,81;Underweight;0,176;0,171;369,4614784;2,99132;18,32;17,6
2;6;1;1,21;20;13,66;Underweight;0,207;0,18;468,6637025;4,1386;289,54;20,7
3;6;1;1,19;23;16,24;Normalweight;0,266;0,224;617,3928528;6,11846;712,52;26,6
4;6;1;1,29;27;16,22;Normalweight;0,19;0,164;569,5922682;5,13432;438,2;19
5;6;1;1,18;24;17,24;Normalweight;0,196;0,178;526,6398451;4,704;367,52;19,6
6;6;1;1,21;22;15,03;Normalweight;0,23;0,228;541,9690074;5,05274;483;23
7;6;1;1,21;25;17,08;Normalweight;0,278;0,201;679,6901493;6,939;846,36;27,8
8;6;1;1,25;26;16,64;Normalweight;0,197;0,162;564,5587148;5,12148;441,74;19,7
9;6;1;1,17;23;16,8;Normalweight;0,179;0,153;479,4684663;4,11148;240,98;17,9
10;6;1;1,18;24;17,24;Normalweight;0,211;0,17;551,8948128;5,06352;448,82;21,1
11;6;1;1,23;24;15,86;Normalweight;0,182;0,175;501,6561127;4,35792;291,64;18,2
12;6;1;1,31;27;15,73;Normalweight;0,207;0,2;601,046418;5,58711;530,34;20,7
13;6;1;1,221;22,3;14,96;Normalweight;0,219;0,205;532,0475573;4,887937;433,7;21,9
14;6;1;1,14;22,4;17,24;Normalweight;0,2;0,184;503,6995261;4,478656;334,16;20
15;6;1;1,189;20,7;14,64;Normalweight;0,247;0,208;539,6270085;5,112072;530,42;24,7
16;6;1;1,277;27;16,56;Normalweight;0,238;0,211;657,3938409;6,43248;698,36;23,8
17;6;1;1,157;22,5;16,81;Normalweight;0,219;0,183;536,0002962;4,931775;440,58;21,9
18;6;1;1,238;23,7;15,46;Normalweight;0,326;0,267;720,5299483;7,729992;1061,8;32,6
19;6;1;1,268;27,6;17,17;Normalweight;0,208;0,175;613,9965853;5,739144;556,4;20,8
20;6;1;1,214;23,4;15,88;Normalweight;0,225;0,204;563,7202448;5,27553;504,06;22,5
21;6;1;1,156;21,1;15,79;Normalweight;0,21;0,198;494,4845694;4,430156;343,64;21
22;6;1;1,125;19;15,01;Normalweight;0,191;0,123;427,0272834;3,63147;168,42;19,1
23;6;1;1,202;23;15,92;Normalweight;0,193;0,162;503,5362257;4,44061;316,86;19,3
24;6;1;1,2;23,8;16,53;Normalweight;0,258;0,232;623,0197263;6,142304;696,68;25,8
25;6;1;1,296;24,1;14,35;Normalweight;0,18;0,176;500,0495812;4,330529;284,24;18
26;6;1;1,286;26,6;16,08;Normalweight;0,247;0,189;664,3258295;6,569136;733,38;24,7
27;6;1;1,198;23,3;16,23;Normalweight;0,239;0,214;583,4618067;5,576156;576,5;23,9
28;6;1;1,3;25,9;15,33;Normalweight;0,232;0,207;624,1390859;6,00362;628;23,2
29;6;1;1,21;23;15,71;Normalweight;0,227;0,202;557,3647374;5,2095;501,14;22,7
30;6;1;1,3;26;15,38;Normalweight;0,227;0,204;616,9926896;5,889;604,34;22,7
31;6;1;1,22;22;14,78;Normalweight;0,154;0,142;420,974738;3,39636;71,08;15,4
32;6;1;1,25;25,5;16,32;Normalweight;0,235;0,207;621,5505528;5,992755;630,5;23,5
33;6;1;1,1;19,2;15,87;Normalweight;0,164;0,137;390,9394609;3,15072;28,96;16,4
34;6;1;1,22;24;16,12;Normalweight;0,339;0,287;746,0858792;8,13432;1142,58;33,9
35;6;1;1,285;27,2;16,47;Normalweight;0,178;0,156;549,1475122;4,836704;380,04;17,8
36;6;1;1,155;20,4;15,29;Normalweight;0,206;0,163;474,940721;4,200768;297,88;20,6
37;6;1;1,17;22,1;16,14;Normalweight;0,246;0,186;568,0968988;5,433506;573,16;24,6
38;6;1;1,21;25,6;17,49;Normalweight;0,222;0,184;601,9225144;5,691136;563,48;22,2
39;6;1;1,13;24;18,8;Overweight;0,172;0,1;485,1412387;4,13448;237,44;17,2
40;6;1;1,24;27;17,56;Overweight;0,349;0,258;838,5605153;9,43164;1299,98;34,9
41;6;1;1,29;31;18,63;Overweight;0,196;0,176;651,1146083;6,076;608,32;19,6
42;6;1;1,296;31,7;18,87;Overweight;0,142;0,104;539,4082654;4,489037;339,72;14,2
43;6;1;1,192;27,6;19,42;Overweight;0,191;0,136;581,9457723;5,275188;464,26;19,1
44;6;1;1,218;27,3;18,4;Overweight;0,179;0,161;552,6707854;4,880148;388,9;17,9
45;6;1;1,174;24,8;17,99;Overweight;0,177;0,149;506,9714051;4,386872;292,06;17,7
46;6;1;1,18;25,8;18,53;Overweight;0,186;0,118;541,4539126;4,807056;375,24;18,6
47;6;1;1,235;27,4;17,96;Overweight;0,18;0,135;556,1810096;4,923506;397,76;18
48;6;1;1,19;25,1;17,72;Overweight;0,222;0,184;592,160142;5,579981;546,28;22,2
49;6;1;1,165;27;19,89;Obese;0,172;0,155;534,901276;4,65129;340,64;17,2
50;6;1;1,121;27;21,49;Obese;0,243;0,202;664,9853365;6,54966;725,46;24,3
51;6;1;1,28;33,4;20,39;Obese;0,23;0,169;766,811219;7,682;875,16;23
52;6;1;1,37;37,2;19,82;Obese;0,185;0,155;730,9655695;6,895764;761,98;18,5
53;6;1;1,27;37,6;23,31;Obese;0,165;0,154;684,8216867;6,203624;667,34;16,5
54;6;1;1,14;26,4;20,31;Obese;0,209;0,157;593,6088126;5,51628;520,54;20,9
55;6;1;1,24;33;21,46;Obese;0,191;0,14;674,8650612;6,30729;650,02;19,1
56;6;1;1,205;29,5;20,32;Obese;0,15;0,141;527,2671178;4,42677;307,4;15
57;7;1;1,28;23;14,04;Underweight;0,292;0,213;691,0285428;6,70979;853,44;29,2
58;7;1;1,28;23;14,04;Underweight;0,215;0,183;569,2144856;4,94638;436,1;21,5
59;7;1;1,295;22,5;13,42;Underweight;0,276;0,217;655,636529;6,218775;749,52;27,6
60;7;1;1,27;24;14,88;Normalweight;0,179;0,15;524,2454804;4,29024;275,38;17,9
61;7;1;1,34;31;17,26;Normalweight;0,17;0,158;628,7786165;5,28333;467,4;17
62;7;1;1,19;21;14,83;Normalweight;0,144;0,138;409,2267892;3,02652;-17,52;14,4
63;7;1;1,315;28;16,19;Normalweight;0,203;0,17;645,7259658;5,68176;543,06;20,3
64;7;1;1,27;27;16,74;Normalweight;0,139;0,094;492,8241279;3,75624;161,78;13,9
65;7;1;1,25;27;17,28;Normalweight;0,137;0,122;487,2637878;3,68982;150,94;13,7
66;7;1;1,33;30,1;17,02;Normalweight;0,235;0,163;752,7281787;7,073801;788,74;23,5
67;7;1;1,19;23,8;16,81;Normalweight;0,184;0,16;531,0456214;4,389196;295,6;18,4
68;7;1;1,18;20,8;14,94;Normalweight;0,268;0,249;602,7995066;5,58064;647,68;26,8
69;7;1;1,22;24,6;16,53;Normalweight;0,182;0,159;540,4407586;4,466868;312,28;18,2
70;7;1;1,16;22,9;17,02;Normalweight;0,222;0,17;579,2488412;5,090899;470,6;22,2
71;7;1;1,35;27,5;15,09;Normalweight;0,315;0,265;841,2624015;8,659475;1132,9;31,5
72;7;1;1,3;26,6;15,74;Normalweight;0,376;0,311;916,0516109;10,000802;1432,56;37,6
73;7;1;1,25;23,4;14,98;Normalweight;0,285;0,23;690,0315927;6,65964;829,26;28,5
74;7;1;1,26;25;15,75;Normalweight;0,288;0,254;734,6920622;7,20375;900,56;28,8
75;7;1;1,18;22,2;15,94;Normalweight;0,268;0,249;636,2459037;5,95626;695,84;26,8
76;7;1;1,24;27,2;17,69;Normalweight;0,187;0,159;599,0427107;5,094016;428,82;18,7
77;7;1;1,35;30,8;16,9;Normalweight;0,239;0,236;776,1306241;7,371056;834,5;23,9
78;7;1;1,28;23,3;14,22;Normalweight;0,181;0,129;514,9345819;4,208679;262,14;18,1
79;7;1;1,33;30,1;17,02;Normalweight;0,243;0,224;768,0598006;7,301658;832,1;24,3
80;7;1;1,34;26,7;14,87;Normalweight;0,259;0,236;725,36398;6,920907;801,86;25,9
81;7;1;1,46;38;17,83;Normalweight;0,319;0,276;1108,199338;12,10756;1515,78;31,9
82;7;1;1,3;29,4;17,4;Normalweight;0,227;0,152;721,0725314;6,6591;721,3;22,7
83;7;1;1,27;23,6;14,63;Normalweight;0,234;0,126;613,4654929;5,520984;559,72;23,4
